Name,Description,Category,Page link,Region,Thumbnail link
DLSU Animo Labs — TBI & FabLab,"Animo Labs is the Technology Business Incubator (TBI) and digital fabrication laboratory (FabLab) of De La Salle University, established in partnership with DOST-PCIEERD. Located primarily at the DLSU Manila campus in Taft Avenue, Manila (with facilities also at the Laguna campus), Animo Labs serves as DLSU's flagship innovation and entrepreneurship center — supporting student and community innovators from idea validation to prototype development to market-ready startup.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/dlsu-animo-labs-tbi-fablab.html,NCR,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/dlsu-animo-labs-tbi-fablab.webp
DOST-PUP TBI Pylon Hub,"The DOST-PUP TBI Pylon Hub — full name: PUP Technology Business Incubation Product Innovation Yielding to Long-Term Opportunities for New Entrepreneurs Hub — is the Technology Business Incubator of the Polytechnic University of the Philippines (PUP) in Manila, serving the National Capital Region. Established through a grant from DOST-PCIEERD, Pylon Hub promotes innovation and technopreneurship at PUP, turning student and early-stage founder ideas into commercially viable businesses.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/dost-pup-tbi-pylon-hub.html,NCR,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/dost-pup-tbi-pylon-hub.webp
FabLab PFFI,"FabLab PFFI is the industry-embedded fabrication laboratory of the Philippine Footwear Federation Inc. (PFFI), located in Marikina City — the undisputed shoe capital of the Philippines and the heart of the country's footwear manufacturing industry. Unlike most Philippine FabLabs hosted by universities or state colleges, FabLab PFFI is operated by an industry association, making it a uniquely sector-focused fabrication facility designed to serve Marikina's footwear ecosystem.",Fabrication Laboratory (FabLab),https://nelle3549.github.io/Innovation-hubs/centers/fablab-pffi.html,NCR,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/fablab-pffi.webp
HiFi — Hub of Innovation for Inclusion,"HiFi — Hub of Innovation for Inclusion is a DOST-accredited Technology Business Incubator hosted by De La Salle-College of Saint Benilde in Malate, Manila (NCR). Founded in 2016 and housed at the Peter D. Garrucho Innovations Institute, HiFi is dedicated to driving social innovation and inclusion, nurturing financially viable startups into sustainable enterprises.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/hifi-hub-of-innovation-for-inclusion.html,NCR,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/hifi-hub-of-innovation-for-inclusion.webp
IdeaSpace Foundation (Incubator Hub),"IdeaSpace Foundation is a non-profit technology business incubator and startup accelerator based in Makati City, Metro Manila. Established in 2012 and backed by the MVP Group of Companies — including First Pacific, Metro Pacific Investments Corporation, PLDT-Smart, and Meralco — it supports early-stage Filipino tech entrepreneurs solving problems in emerging markets.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/ideaspace-foundation.html,NCR,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/ideaspace-foundation.webp
PTTC DigiFab,"PTTC DigiFab is the digital fabrication facility of the Philippine Trade Training Center (PTTC), the training arm of the Department of Trade and Industry (DTI), located in Pasay City, Metro Manila. As a government-run Fab Lab under a major trade and industry agency, PTTC DigiFab uniquely targets MSMEs and entrepreneurs seeking to bridge the gap between product ideation and market-ready production — positioning it as one of the most commercially oriented Fab Labs in the National Capital Region.",Fabrication Laboratory (FabLab),https://nelle3549.github.io/Innovation-hubs/centers/pttc-digifab.html,NCR,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/pttc-digifab.webp
QBO Innovation Hub,"QBO Innovation Hub is the Philippines' first public-private startup platform, established through a tri-sector founding partnership between DOST-PCIEERD (government), IdeaSpace (civil society), and J.P. Morgan and DTI (private sector and government). Now operating as a division of Ideaspace under the brand QBO Innovation, the hub has been a pillar of the Philippine startup ecosystem since 2016 — based at Zero-Ten Park, Legazpi Village, Makati City, in the heart of Metro Manila's business and technology district.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/qbo-innovation-hub.html,NCR,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/qbo-innovation-hub.webp
T.I.P. TechnoCoRe (Student Incubation),"The TechnoCoRe Catalyst Office is the in-house student and startup incubation arm of the Technological Institute of the Philippines (TIP) in Quezon City. Operating within TIP TechnoCoRe (Technopreneurship and Collaborative Applied Research), it houses the university's Innovation and Technology Support Office (ITSO) and technopreneurship programs, supporting TIP student and faculty innovators from idea development through intellectual property protection and startup formation.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/t-i-p-technocore.html,NCR,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/t-i-p-technocore.webp
TBI Center at Miriam College — Henry Sy Sr. Innovation Center,"The TBI Center at Miriam College, housed in the Henry Sy Sr. Innovation Center, is the Technology Business Incubator (TBI) of Miriam College — located along Katipunan Avenue in Quezon City. As part of the DOST-PCIEERD DOST-PCIEERD HEIRIT program of Metro Manila TBIs, the center supports technology entrepreneurship among Miriam College students and alumni in alignment with the college's mission of women's education and sustainable development.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/tbi-center-at-miriam-college-henry-sy-sr-innovation-center.html,NCR,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/tbi-center-at-miriam-college-henry-sy-sr-innovation-center.webp
Think & Tinker Laboratory — Mapúá University,"The Think & Tinker Laboratory is Mapúá University's DOST-PCIEERD-accredited Technology Business Incubator and a member of the SCALE-NCR cluster of startup incubators in Metro Manila. The lab's name captures its dual purpose: think (ideate, conceptualize, design) and tinker (prototype, build, test, iterate) — a pairing that reflects its focus on engineering-driven and deep-tech startup development.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/think-tinker-laboratory-mapua-university.html,NCR,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/think-tinker-laboratory-mapua-university.webp
TIP NITRO — TBI,"TIP NITRO is the Technology Business Incubator (TBI) of the Technological Institute of the Philippines (TIP), located in Quezon City. As part of the DOST-PCIEERD SCALE-NCR cluster of Metro Manila TBIs, TIP NITRO supports technology startup development among TIP engineering and technology students and alumni, channeling TIP's polytechnic strengths in engineering, ICT, and applied sciences into practical startup commercialization.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/tip-nitro-tbi.html,NCR,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/tip-nitro-tbi.webp
TOMASInno Center TBI — UST,"TOMASInno Center is the Technology Business Incubator (TBI) of the University of Santo Tomas (UST), located in Manila. Supported by DOST-PCIEERD, TOMASInno serves as UST's hub for technology entrepreneurship, startup incubation, and research commercialization — drawing on the vast academic resources of one of Asia's oldest universities (established 1611).",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/tomasinno-center-tbi-ust.html,NCR,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/tomasinno-center-tbi-ust.webp
UP Diliman–DOST Food Innovation Facility (FIF),"The Food Innovation Facility (FIF) at the University of the Philippines Diliman is the Metro Manila–based center in the DOST national Food Innovation Center (FIC) network. Hosted by UP Diliman's College of Home Economics through the Department of Food Science and Nutrition (CHE-DFSN), the FIF is co-located with the Pilot Food Plant on the UP Diliman campus — giving it direct access to both research-grade processing infrastructure and the scientific expertise of the country's premier state university.",Food Innovation Center,https://nelle3549.github.io/Innovation-hubs/centers/up-diliman-dost-food-innovation-facility.html,NCR,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/up-diliman-dost-food-innovation-facility.webp
UP-CFA FabLab,"The UP-CFA FabLab at the University of the Philippines Diliman — College of Fine Arts (CFA) is a digital fabrication laboratory that brings together the creative disciplines of fine arts and design with modern digital manufacturing technology. Located within the CFA campus in Quezon City, the FabLab serves as a maker space and prototyping hub for UP's art, design, and creative students and faculty, listed on the global fablabs.io directory as part of the worldwide Fab Lab network.",Fabrication Laboratory (FabLab),https://nelle3549.github.io/Innovation-hubs/centers/up-cfa-fablab.html,NCR,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/up-cfa-fablab.webp
UPScale Innovation Hub,"UPScale Innovation Hub is the Technology Business Incubator (TBI) of the University of the Philippines Diliman, housed within the College of Engineering and backed by DOST-PCIEERD. As one of the Philippines' most prestigious university-based TBIs, UPScale supports high-potential engineering-driven startups and student innovators from one of the country's top engineering faculties, with access to UP Diliman's research facilities, faculty experts, and alumni network.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/upscale-innovation-hub.html,NCR,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/upscale-innovation-hub.webp
Aligwas TBI,"Aligwas TBI (DOST-PSU Aligwas Technology Business Incubator) is hosted by Pangasinan State University (PSU) in Region I (Ilocos Region), with operations anchored at PSU and its Bayambang campus, serving Lingayen and the wider Pangasinan province. ""Aligwas"" is a local word meaning ""progress"" or ""advancement,"" reflecting the center's mission to drive innovation, entrepreneurship, and sustainable solutions.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/aligwas-tbi.html,Region I,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/aligwas-tbi.webp
DOST-MMSU Bannuar Technology Business Incubator,"The DOST-MMSU Technology Business Incubator — known as the Bannuar TBI — is hosted by Mariano Marcos State University in Batac, Ilocos Norte and serves Region I (Ilocos). Established through a ₱12.7 million grant from DOST-PCIEERD, the Bannuar TBI was inaugurated at MMSU to spur innovation and empower the creative manufacturing industry in the Ilocos Region. ""Bannuar"" is an Ilocano word meaning excellent or distinguished, reflecting the TBI's aspiration to be a premier incubation center in Northern Luzon.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/dost-mmsu-bannuar-technology-business-incubator.html,Region I,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/dost-mmsu-bannuar-technology-business-incubator.webp
DOST-PCAARRD-DMMMSU Agri-Aqua Technology Business Incubator (ATBI),"The DOST-PCAARRD-DMMMSU Agri, Aquaculture & Food TBI is hosted by Don Mariano Marcos Memorial State University (DMMMSU) in Rosario, La Union and serves as the Regional Agri-Aqua Technology Business Incubator for Region I (Ilocos). Established under the DOST-PCAARRD RAISE (Regional Agri-Aqua Innovation System Enhancement) Program, DMMMSU-ATBI functions as a regional hub for technology transfer, commercialization, and agri-aqua enterprise development across the Ilocos Region.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/dost-pcaarrd-dmmmsu-agri-aqua-technology-business-incubator.html,Region I,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/dost-pcaarrd-dmmmsu-agri-aqua-technology-business-incubator.webp
MMSU FARM-A Lab (Fabrication and Automation Research for the Mechanization of Agriculture),"The FARM-A Lab (Fabrication and Automation Research for the Mechanization of Agriculture) is a digital fabrication and applied-research facility at Mariano Marcos State University (MMSU) in Batac City, Ilocos Norte, intended to serve agricultural mechanisation and automation. The only public record found is MMSU's announcement of a partnership to build a 3D-printing laboratory, so this lab should be treated as proposed or under development until MMSU confirms it is operational.",Fabrication Laboratory (FabLab),https://nelle3549.github.io/Innovation-hubs/centers/mmsu-farm-a-lab.html,Region I,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/mmsu-farm-a-lab.webp
MMSU Food Innovation Center,"The MMSU Food Innovation Center (MMSU FIC) is the DOST-supported Food Innovation Center for Region I (Ilocos Region), hosted by Mariano Marcos State University (MMSU) in Batac City, Ilocos Norte. Established as part of DOST’s nationwide Food Innovation Center program, the MMSU FIC serves as a one-stop shop for food product development, food processing technology, and MSME support across the Ilocos region — helping local agri-food producers transform raw agricultural commodities into commercially viable, market-ready food products.",Food Innovation Center,https://nelle3549.github.io/Innovation-hubs/centers/mmsu-food-innovation-center.html,Region I,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/mmsu-food-innovation-center.webp
PSU-DOST 1 FIC — Pangasinan State University,"The PSU-DOST 1 Food Innovation Center is hosted by Pangasinan State University at its Bayambang Campus in Bayambang, Pangasinan and serves Region I (Ilocos Region). One of PSU's ten flagship Research, Extension, and Innovation Centers, the PSU-DOST 1 FIC operates as the region's dedicated food processing and innovation hub — enabling Pangasinan's food producers, entrepreneurs, students, and researchers to access DOST-funded technology, equipment, and expertise for value-adding agri-fishery products.",Food Innovation Center,https://nelle3549.github.io/Innovation-hubs/centers/psu-dost-1-fic-pangasinan-state-university.html,Region I,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/psu-dost-1-fic-pangasinan-state-university.webp
BIZNEST Technology Business Incubator (CSU),"BIZNEST (Business Incubation Zone for Novel and Sustainable Enterprises) is hosted by Cagayan State University in Tuguegarao City, Cagayan and serves Region II (Cagayan Valley). Funded by DOST-PCIEERD, BIZNEST focuses primarily on entrepreneurs with food and post-harvest technologies — its banner program is Food and Post-harvest Technology — connecting innovators in the Cagayan Valley to the national technology business incubation ecosystem.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/biznest-technology-business-incubator.html,Region II,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/biznest-technology-business-incubator.webp
Cagayan Valley Food Innovation Center (FIC),"The Cagayan Valley Food Innovation Center (FIC) is hosted by Cagayan State University at its Carig Campus in Tuguegarao City, Cagayan and serves Region II (Cagayan Valley). Established in 2014, it holds the distinction of being the first Food Innovation Center in all of Luzon and the second FIC established in the Philippines — pioneering the DOST FIC model in Northern Luzon after the original FIC launched in Davao City.",Food Innovation Center,https://nelle3549.github.io/Innovation-hubs/centers/cagayan-valley-food-innovation-center.html,Region II,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/cagayan-valley-food-innovation-center.webp
DOST-PCAARRD-ISU Livestock TBI,"The DOST-PCAARRD-ISU Livestock TBI is hosted by Isabela State University through its Cagayan Valley Small Ruminant Research Center (CVSRRC) in Echague, Isabela and serves Region II (Cagayan Valley). CVSRRC was established in 2010 by the ISU Board of Regents to lead research and development activities for improving the small ruminant industry in the region. In 2017, DOST-PCAARRD designated it as one of the six pioneering agriculture-based Technology Business Incubators in the country.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/dost-pcaarrd-isu-livestock-tbi.html,Region II,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/dost-pcaarrd-isu-livestock-tbi.webp
FabLab Santiago City,"FabLab Santiago City is a digital fabrication center operated by the Local Government Unit of Santiago City, located in Santiago City, Isabela in the Cagayan Valley region. Listed on the global Fab Lab network directory (fablabs.io), the lab provides open access to fabrication equipment and digital design tools for entrepreneurs, students, artisans, and community members in Santiago City and the surrounding Cagayan Valley area.",Fabrication Laboratory (FabLab),https://nelle3549.github.io/Innovation-hubs/centers/fablab-santiago-city.html,Region II,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/fablab-santiago-city.webp
FIC — Isabela State University (Cauayan Campus),"The Isabela State University Food Innovation Center (ISU FIC) is a DOST-supported food technology facility at Isabela State University, located at the Cauayan Campus in Cauayan City, Isabela. The center serves as Region II's key food innovation resource, supporting food MSMEs and agri-entrepreneurs in Isabela and the broader Cagayan Valley region.",Food Innovation Center,https://nelle3549.github.io/Innovation-hubs/centers/fic-isabela-state-university.html,Region II,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/fic-isabela-state-university.webp
Sabatan — NVSU Technopreneurs Hub,"Sabatan — NVSU Technopreneurs Hub is a Technology Business Incubator hosted by Nueva Vizcaya State University (NVSU) in Bayombong, Nueva Vizcaya. Under DOST's banner program for Metal Technologies, Sabatan supports student entrepreneurs, researchers, and MSMEs in developing innovations across metalworking, tooling, fabrication, and related manufacturing processes.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/sabatan-nvsu-technopreneurs-hub.html,Region II,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/sabatan-nvsu-technopreneurs-hub.webp
BARAS TBI (Business Assistance for Research Acceleration & Sustainability),"BARAS TBI (Business Assistance for Research Acceleration & Sustainability) is a Technology Business Incubator hosted by Bulacan State University (BulSU) in Malolos, Bulacan. Under DOST's banner program for Industrial Technology, BARAS TBI supports entrepreneurs and innovators in sectors including food processing, jewelry making, furniture design, and other industrial crafts indigenous to Central Luzon.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/baras-tbi.html,Region III,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/baras-tbi.webp
BulSU FABLAB Center,"The BulSU FABLAB Center — formally known as the Center for Fabrication and Manufacture — is Bulacan State University's digital fabrication laboratory, providing hands-on access to advanced manufacturing technologies for students, MSMEs, and the community in Malolos, Bulacan. The center's equipment suite spans metal, acrylic, wood, and plastic fabrication — encompassing subtractive milling, laser engraving, and 3D additive manufacturing — making it one of the more versatile fabrication facilities in Region III.",Fabrication Laboratory (FabLab),https://nelle3549.github.io/Innovation-hubs/centers/bulsu-fablab-center.html,Region III,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/bulsu-fablab-center.webp
DOST-NEUST TBI,"DOST-NEUST TBI is a Technology Business Incubator hosted by the Nueva Ecija University of Science and Technology (NEUST) at its Sumacab Campus in Cabanatuan City, Nueva Ecija, Region III (Central Luzon). Operating alongside the university's Innovation Management Office (IMO) and Innovation and Technology Support Office, it nurtures technology-based startups and helps students and researchers turn ideas into market-ready prototypes and enterprises.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/dost-neust-tbi.html,Region III,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/dost-neust-tbi.webp
DOST-PCAARRD-CLSU Agriculture & Food TBI,"The DOST-PCAARRD-CLSU Agriculture & Food TBI (AFTBI) is hosted by Central Luzon State University in the Science City of Muñoz, Nueva Ecija and serves Region III (Central Luzon). Funded by the Philippine Council for Agriculture, Aquatic and Natural Resources Research and Development (PCAARRD-DOST), CLSU AFTBI is designed to facilitate the transfer and commercialization of mature technologies developed by CLSU researchers, helping MSMEs grow and access larger markets locally and globally.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/dost-pcaarrd-clsu-agriculture-food-tbi.html,Region III,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/dost-pcaarrd-clsu-agriculture-food-tbi.webp
DOST-TSU Aslagan TBI,"DOST-TSU Aslagan TBI is a Technology Business Incubator hosted by Tarlac State University in Tarlac City, Region III (Central Luzon). Officially launched on July 24, 2023, the center takes its name ""Aslagan,"" a Kapampangan term meaning ""to light up,"" reflecting its mission to nurture entrepreneurs and innovators by providing a conducive environment and essential resources for building their businesses.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/dost-tsu-aslagan-tbi.html,Region III,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/dost-tsu-aslagan-tbi.webp
Encephalon TBI,"Encephalon TBI is the Technology Business Incubator of Holy Angel University (HAU) in Angeles City, Pampanga, established with support from DOST-PCIEERD. Named after the Latin word for ""brain,"" Encephalon reflects HAU's commitment to nurturing the brightest ideas and developing them into commercially viable technology-based ventures. With its dedicated website at encephalonhautbi.com and a dedicated Facebook page, Encephalon serves as the central innovation and startup hub for the Central Luzon region (Region III) among the Holy Angel University community.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/encephalon-tbi.html,Region III,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/encephalon-tbi.webp
FabLab DHVTSU,"FabLab DHVTSU — now operating under Pampanga State University (PSU), formerly Don Honorio Ventura Technological State University — is the digital fabrication laboratory of Central Luzon's premier polytechnic state university in Bacolor, Pampanga. Managed under the university's Knowledge Management and Innovation Office (KMIO), the FabLab provides digital manufacturing tools and prototyping services to engineering students, faculty researchers, and MSMEs across Pampanga and the Central Luzon region.",Fabrication Laboratory (FabLab),https://nelle3549.github.io/Innovation-hubs/centers/fablab-dhvtsu.html,Region III,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/fablab-dhvtsu.webp
FIC — Bulacan State University,"The Bulacan State University Food Innovation Center (BulSU FIC) is a DOST-HITS (Harmonized Industrial Technology Services) recipient at Bulacan State University (BulSU) in Malolos, Bulacan, providing food product development and innovation services to MSMEs in Region III. Operating under BulSU's Office of VP for Research, Extension, and Innovation (OVPREI), the FIC serves as the university's flagship food technology hub — supporting food entrepreneurs and producers across Bulacan and the Central Luzon region.",Food Innovation Center,https://nelle3549.github.io/Innovation-hubs/centers/fic-bulacan-state-university.html,Region III,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/fic-bulacan-state-university.webp
PSHS-CLC Innovation Center,"The PSHS-CLC Innovation Center is a fabrication laboratory (FabLab) established at the Philippine Science High School – Central Luzon Campus (PSHS-CLC) in Clark Freeport Zone, Mabalacat City, Pampanga. Operating as a Department of Trade and Industry (DTI) Shared Service Facility (SSF), the center serves PSHS-CLC students as well as MSMEs and the creative industry in Region III, providing a digital fabrication facility that bridges science education with practical product innovation and entrepreneurship.",Fabrication Laboratory (FabLab),https://nelle3549.github.io/Innovation-hubs/centers/pshs-clc-innovation-center.html,Region III,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/pshs-clc-innovation-center.webp
SIKAT TBI,"SIKAT TBI is a Technology Business Incubator hosted by Bataan Peninsula State University (BPSU) in Balanga City, Bataan, Region III (Central Luzon). Launched by the Department of Science and Technology, SIKAT (Synergizing Innovation and Creativity through Cultural Knowledge, Artistry, and Technology) is designed to bring together academia, government, and industry to strengthen the country's startup ecosystem through science, technology, and innovation. With its establishment, BPSU became one of the higher education institutions assisted by DOST to operate its own TBI.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/sikat-tbi.html,Region III,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/sikat-tbi.webp
